spike_times,unit_ids
-0.9546959902279555,7
-0.9545536196585421,10
-0.914652535006232,6
-0.870840584848505,12
-0.8047570122019555,5
-0.7841789725031568,6
-0.7713571944965373,12
-0.7192276375591442,5
-0.7190368104077697,10
-0.6591964597469822,8
-0.6589336489497415,3
-0.6418372819671595,12
-0.6279819142072168,8
-0.6253873853735288,7
-0.5873823230885735,8
-0.5074823061811361,5
-0.4973629068948079,5
-0.4230961153736409,5
-0.41568568807689976,10
-0.39382536554911995,12
-0.38414990194778353,7
-0.38187175954210417,12
-0.37710952418099974,6
-0.3741400842857636,7
-0.3649063491323562,7
-0.32829931559414327,12
-0.29903086854088,9
-0.2775478847384947,5
-0.24938524835914166,8
-0.23000644690138916,6
-0.22358703925800316,8
-0.20518869645835158,5
-0.193165260732736,8
-0.10278424204667325,4
-0.09884198950901102,10
-0.04958851592344127,10
-0.04594897274127763,12
-0.0094948579993267,8
0.010123167692437374,4
0.018394103233259296,4
0.022707289534838138,9
0.030913233057734857,5
0.05070148683091502,6
0.053022621083243626,7
0.1126065513636747,9
0.1411374948008597,7
0.15546927392996968,10
0.15691276268453191,6
0.16700143339733753,9
0.16967542817038384,9
0.18257335357226712,8
0.19435298754153707,5
0.2029430857320642,4
0.22239496461230268,9
0.23505249355420976,9
0.23763583253614384,9
0.3216161028349973,4
0.32325742818922754,4
0.3252338786897826,10
0.3258688541628594,7
0.338985493372185,5
0.3762423194475226,10
0.4529915503958759,2
0.5416645025241484,6
0.5547623659622654,10
0.5864215433961291,8
0.5888977841391714,5
0.6190552325726555,10
0.6338440103125553,5
0.6386272751808297,8
0.6459129458824919,6
0.6573290907398319,8
0.7067044560521056,10
0.7403174005108888,5
0.7412842941337818,9
0.7485415915122406,9
0.7525191710618315,9
0.7701954572038505,5
0.7763398524130438,7
0.8484440184939526,9
0.8563682966346287,5
0.8779428414112722,6
0.8968910439566395,8
0.9165057809830333,7
0.9273968098799643,10
0.9373212839882525,9
0.9852502085817183,9
1.024186116598562,2
1.0326006966023906,6
1.0721927326882408,10
1.081270243220213,6
1.0912335786318699,7
1.0974675787331722,4
1.103813677548971,12
1.1136025249167003,5
1.11680849947161,9
1.1218759430707725,12
1.14012234017873,5
1.1468757762465722,8
1.150948355751758,7
1.1667375301943193,9
1.1673122237017441,10
1.1715511625469266,7
1.2128581193191799,4
1.2402651956030735,10
1.2636744243395985,8
1.264611661187159,1
1.274859802996413,6
1.2848385564126312,7
1.2865764368847064,7
1.2903455808188997,2
1.2984206042321271,9
1.31738726323789,7
1.3270035382161116,4
1.3450369121540768,8
1.3694623451077585,10
1.391948412187396,6
1.392059593349946,5
1.3963234280394903,10
1.452182667445323,6
1.4920897585308466,9
1.50474905887536,8
1.5067563705178832,9
1.5542938318548736,9
1.5903723895374073,6
1.6255991345150052,9
1.6275900394138973,10
1.6719602410244117,6
1.7022733430337138,5
1.7043630006370802,12
1.7060189109347201,5
1.75330720531669,12
1.7971083770541585,4
1.8107639528385273,8
1.812708770189472,9
1.821854368987685,10
1.8566371251754508,5
1.872309548321562,5
1.8804604828499152,7
1.8829296175530503,7
1.8944971547677174,9
1.9001239341016098,8
1.9012142938751122,8
1.9243450969490838,9
1.9252968293558501,6
1.9272399541785057,5
1.9333096380873391,5
1.948789615332333,10
1.9517041589250692,6
1.9720021276457418,9
1.9724214889592058,10
1.973279157002351,9
2.01822182565155,7
2.026366974497252,10
2.035942273796742,5
2.043159911950576,9
2.071188648460229,7
2.090289770054408,1
2.093981939840869,5
2.0944429607559285,7
2.150416891103528,10
2.2477309895011572,6
2.286541252128284,5
2.318975630293761,7
2.3253996981592677,4
2.3379951568515356,5
2.3509150125520786,8
2.355972678651262,6
2.375582952639944,5
2.3764633668780495,10
2.3808908566310216,10
2.41960006242779,6
2.441530501373377,8
2.46559801813246,5
2.5015162946871996,5
2.5277011090863,9
2.5426446347075764,5
2.5495288823237354,8
2.5543540525114006,6
2.578280140996174,5
2.594130715352135,10
2.611720746234352,6
2.620309551353465,12
2.649632899047215,4
2.649963930777765,5
2.659984046034179,3
2.683006773416357,7
2.7019668772577035,5
2.7378969166957683,6
2.7464914051180243,4
2.755137255673619,12
2.795792669436101,5
2.798295178966775,5
2.8105533307818327,10
2.8172222002012157,3
2.849223410494178,4
2.8877041827583,8
2.890005341817566,5
2.891143113698071,9
2.954865280663194,6
2.969878826707639,9
2.9872761293149446,10
2.9929647961193004,9
5.033532434735779,7
5.081759031948872,4
5.119762131819251,5
5.124297223485545,6
5.155240245930712,9
5.243172190999454,10
5.248489139814466,7
5.268677359384946,12
5.333499171691145,8
5.342081748715907,7
5.348868266542995,6
5.398168693590943,8
5.400763060875326,9
5.411840914147269,6
5.440762746938228,9
5.513989489159811,2
5.537395602937923,8
5.541634214660867,12
5.559640331308218,9
5.569889684871317,7
5.593592453554049,5
5.627900389490907,4
5.730867475203644,6
5.7439462925726765,7
5.7624586857406905,7
5.783653012741143,2
5.799410398909043,4
5.830619407787729,6
5.87676563676175,7
5.890527280739895,5
5.919855616412761,8
5.929529144247826,6
5.938340456821038,6
5.965026910666513,6
6.021991657316961,12
6.026003847021472,10
6.026188913176667,8
6.036781353094933,12
6.054191985006967,9
6.073366405781195,4
6.081737232532958,3
6.160467491323285,5
6.171017061708936,10
6.173840576174848,5
6.2035649452408075,5
6.224077804336105,5
6.235502165780282,12
6.254977324663965,7
6.2551606055911275,5
6.278712148145648,12
6.279544753252579,6
6.281714040759599,8
6.2973254555062255,8
6.299834854697547,7
6.305718278368664,5
6.306702806232161,7
6.312305194732381,9
6.321362746519111,5
6.327311885731409,6
6.328531595861985,6
6.337870126144329,3
6.341775174780132,5
6.343358571696607,12
6.346747190589509,5
6.352773973012447,8
6.356071933739503,8
6.363195433602852,7
6.373134048102612,5
6.3845780376173416,3
6.403254640095489,6
6.412842543521206,12
6.415772510292054,10
6.443944323865899,9
6.449209645879964,8
6.458502790465283,7
6.462149593176143,9
6.474453583471989,5
6.491915456769016,5
6.5035981178139055,7
6.515805654089879,5
6.5164887765979165,2
6.5361272816457525,11
6.544614653038738,12
6.548110441374412,12
6.557180678063917,3
6.567551811597449,5
6.570190337387694,5
6.5862954605220265,10
6.691391987007838,7
6.7121934517956925,5
6.724787798233266,8
6.72616459279727,5
6.737827279139545,4
6.740944205582764,4
6.7945745811207345,7
6.7957111980914835,5
6.80170283352728,7
6.818823304382481,11
6.820793653979323,5
6.837850899009096,8
6.863319092459359,5
6.904435881779614,8
6.904879032265387,8
6.918271512476522,2
6.924011607288265,7
6.925069432266296,4
6.969045970382043,4
6.984232586159076,2
6.996735545478959,8
6.996884397858114,5
7.049022779140509,5
7.051380364605372,12
7.074213083637096,5
7.085448886695192,7
7.108356005031586,12
7.141556609337824,5
7.148946226359824,6
7.153032951028507,12
7.161176700556087,8
7.1667835895322405,7
7.172459664033594,7
7.173682236041758,5
7.180589885029615,11
7.211549638713774,5
7.236509543060592,4
7.248297815698268,11
7.26452857583906,8
7.282295265770594,7
7.291834482663202,5
7.302840776703729,12
7.317847883820303,9
7.327074744033421,8
7.343785487197457,9
7.3878968889342005,7
7.4319444576947955,9
7.440073073092149,7
7.444505136786132,7
7.4750024962194965,8
7.482241298580118,6
7.49087894836866,5
7.494941876267513,4
7.590534623719781,6
7.594590731559107,7
7.63414414189856,5
7.659483607414403,12
7.6698604735985985,12
7.683657553516544,6
7.692904583469036,7
7.73101425178796,5
7.79267163704224,10
7.79353084925285,5
7.8169011226672565,7
7.828597613120998,12
7.8296918021362,8
7.853175250322989,2
7.89456667922363,7
7.92214063493891,8
7.9389408665507375,5
7.964757233817213,5
7.968804361407104,12
7.97303049758596,5
8.051823536822427,5
8.107172011339776,4
8.113238045840756,7
8.114836824739204,5
8.116898040708364,6
8.154362715274202,5
8.17537127862345,12
8.190687720663666,8
8.205139640482008,8
8.209905593095586,8
8.232212695146817,6
8.240145618778193,2
8.24240973241508,5
8.24247050363473,4
8.288630553240257,5
8.294465759541918,11
8.383891221373212,6
8.418770524892073,12
8.424130671302386,7
8.447412366823455,4
8.450839371404133,7
8.481140101854818,5
8.50272039009248,6
8.532589432551585,5
8.532617266455023,4
8.543552861113989,6
8.576288360166814,7
8.581238221422613,5
8.606715046382856,7
8.610620042441633,5
8.624237995913992,6
8.633400854316726,2
8.665036674546256,12
8.736444235624722,7
8.74760938017625,6
8.749960470399177,8
8.799916085373189,9
8.898054289440713,8
8.899574573274569,6
8.906472110964547,6
8.91441194592496,12
8.925568512906777,7
8.934367014769014,7
8.939832123613476,6
8.984841198962334,7
11.017873934733414,5
11.02924728303456,6
11.042093189636361,5
11.110474113131394,5
11.117308188962394,8
11.128869867473446,6
11.158605105293073,6
11.160759896048308,6
11.180575345127334,4
11.210662189005667,12
11.218253887865064,5
11.23360775104991,5
11.246402033239107,3
11.287238991654082,5
11.29630812045599,5
11.323610219149542,7
11.335118854259141,6
11.354622157640776,5
11.384326647159682,5
11.427773133735862,5
11.4523182845183,10
11.48152235151255,8
11.488643190404666,7
11.507467733760837,6
11.526402660936114,10
11.547592376153736,10
11.566404640296897,2
11.592350328593362,12
11.616650314520738,8
11.618611378215185,6
11.622966583563482,12
11.63156022009252,12
11.643577695196525,10
11.67964728269307,5
11.705575172515688,4
